root,session_date,timestamp_first,timestamp_last,open,high,low,close,volume,source_label,source_path,tr,close_to_close_return_points,trendiness,signed_trendiness,prior_day_tr,atr20,range_ratio,state,state_next,range_ratio_bin
NQ,2023-05-12,2023-05-12 04:00:00+00:00,2023-05-12 20:59:00+00:00,13481.5,13493.75,13310.5,13370.5,596505,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,183.25,-111.5,0.6057298772169167,-0.6057298772169167,132.75,166.625,0.7966991747936985,compression,neutral,0_7_to_0_9
NQ,2023-05-14,2023-05-14 22:00:00+00:00,2023-05-15 03:59:00+00:00,13378.75,13394.25,13350.0,13390.5,19056,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,44.25,20.0,0.2655367231638418,0.2655367231638418,183.25,167.7,1.0927251043530115,neutral,compression,0_9_to_1_1
NQ,2023-05-15,2023-05-15 04:00:00+00:00,2023-05-16 03:59:00+00:00,13390.5,13480.0,13351.5,13458.75,487494,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,128.5,68.25,0.5311284046692607,0.5311284046692607,44.25,161.0,0.2748447204968944,compression,neutral,lt_0_7
NQ,2023-05-16,2023-05-16 04:00:00+00:00,2023-05-17 03:59:00+00:00,13458.5,13554.5,13426.25,13515.25,562814,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,128.25,56.5,0.442495126705653,0.442495126705653,128.5,160.45,0.800872545964475,neutral,compression,0_7_to_0_9
NQ,2023-05-17,2023-05-17 04:00:00+00:00,2023-05-18 03:59:00+00:00,13515.5,13669.0,13474.25,13644.0,611889,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,194.75,128.75,0.6598202824133504,0.6598202824133504,128.25,165.4375,0.77521722704949,compression,neutral,0_7_to_0_9
NQ,2023-05-18,2023-05-18 04:00:00+00:00,2023-05-19 03:59:00+00:00,13644.5,13960.25,13631.5,13929.0,755324,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,328.75,285.0,0.8653992395437262,0.8653992395437262,194.75,166.8375,1.1673035138982542,neutral,expansion,1_1_to_1_3
NQ,2023-05-19,2023-05-19 04:00:00+00:00,2023-05-19 20:59:00+00:00,13929.25,13931.75,13814.25,13841.0,618598,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,117.5,-88.0,0.7510638297872341,-0.7510638297872341,328.75,171.9125,1.9123100414455028,expansion,compression,gt_1_3
NQ,2023-05-21,2023-05-21 22:00:00+00:00,2023-05-22 03:59:00+00:00,13805.5,13874.0,13794.25,13871.0,22478,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,79.75,30.0,0.8213166144200627,0.8213166144200627,117.5,170.3625,0.6897057744515371,compression,compression,lt_0_7
NQ,2023-05-22,2023-05-22 04:00:00+00:00,2023-05-23 03:59:00+00:00,13871.5,13979.25,13824.5,13936.5,536539,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,154.75,65.5,0.420032310177706,0.420032310177706,79.75,155.2875,0.513563551477099,compression,neutral,lt_0_7
NQ,2023-05-23,2023-05-23 04:00:00+00:00,2023-05-24 03:59:00+00:00,13937.0,13938.25,13710.0,13744.25,638930,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,228.25,-192.25,0.8444687842278203,-0.8444687842278203,154.75,154.675,1.0004848876676902,neutral,expansion,0_9_to_1_1
